# patches_cabecalho.txt -- o lote de 2026-09-18 que entrou no patches.txt.
# Aprovado pelo usuario: grupo A inteiro, B e C desde que nao mexam nos 167
# quadros bons, e o par do cabecalho do frame 11.
#
# Origem: tools/cabecalho_slice.py (juiz: cabecalho valido pela norma e
# igual ao esperado -- tipo, frame_num e POC pelo ctts; deblocking 0/-1/-1,
# cabac_init 0, sem reordenacao nas constantes do filme; QP so em faixa larga).
# So entram solucoes UNICAS de 1 ou 2 bits.
#
# Verificacao antes de entrar: as imagens decodificadas dos 167 quadros bons
# (ilhas 0-10, 2333-2361, 3319-3444 e o frame 12) saem BYTE A BYTE iguais com
# o lote aplicado (serie com TARJA=1, base contra A, A+B e A+B+C).
#
# FORA do lote:
#   2361  a solucao desfaz um bit de reparo que ja esta no patches.txt
#         (77528965 2). Decisao do usuario, a parte.
#   10 quadros ambiguos (2+ solucoes): 15 79 232 858 1009 1871 (A), 1630 1772
#         2021 (C). O frame 11 era ambiguo e entrou porque o pixel decidiu.
#
# REMOVIDAS em 2026-09-18, com aprovacao do usuario: 12 linhas de 6 quadros do
# grupo B (1599, 1601, 1602, 1603, 1604, 1606). A ferramenta reconhecia IDR pelo
# byte NAL e tratou o 1595 como IDR -- ele nao e: os 9 cabecalhos legiveis de
# 1596-1610 continuam a sequencia do IDR 1582, nenhum reinicia. Essas 6
# "correcoes" trocavam frame_num/POC certos por valores contados a partir do IDR
# falso. A verificacao dos 167 nao pegou porque o trecho fica fora das ilhas.
#
# colunas: offset bit | quadro | grupo | o que o cabecalho tinha
42262322 2 | 1240 | B frame_num/POC/tipo errado | valido, desvia 1/0
42307804 3 | 1243 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
42313742 7 | 1244 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
42313742 3 | 1244 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
42361557 3 | 1246 | A cabecalho invalido | invalido: ue com zeros demais
42361559 7 | 1246 | A cabecalho invalido | invalido: ue com zeros demais
42555151 1 | 1258 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
42658147 5 | 1264 | B frame_num/POC/tipo errado | valido, desvia 1/0
42714195 1 | 1266 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=4101 fora de [0,3]
42714196 5 | 1266 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=4101 fora de [0,3]
42852720 3 | 1269 | A cabecalho invalido | invalido: qp=-193 fora de [0,51]
42912587 5 | 1272 | B frame_num/POC/tipo errado | valido, desvia 1/0
43094016 1 | 1281 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
43199126 2 | 1285 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
43199127 0 | 1285 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
43297388 5 | 1287 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=6 fora de [0,2]
43345061 2 | 1289 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
43587334 0 | 1294 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
43634697 1 | 1296 | B frame_num/POC/tipo errado | valido, desvia 1/0
43838907 4 | 1298 | A cabecalho invalido | invalido: chroma_log2_weight_denom=15 fora de [0,7]
43988830 4 | 1304 | B frame_num/POC/tipo errado | valido, desvia 1/0
44084803 1 | 1308 | B frame_num/POC/tipo errado | valido, desvia 1/0
44672194 5 | 1322 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
44725456 4 | 1323 | B frame_num/POC/tipo errado | valido, desvia 1/0
44725456 2 | 1323 | B frame_num/POC/tipo errado | valido, desvia 1/0
44766346 2 | 1326 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
45073468 4 | 1337 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
45371304 2 | 1347 | B frame_num/POC/tipo errado | valido, desvia 1/0
45406426 4 | 1349 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
45601990 6 | 1351 | B frame_num/POC/tipo errado | valido, desvia 1/0
45657455 6 | 1353 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
45682549 2 | 1355 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
45749195 1 | 1357 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
45749199 6 | 1357 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
45859094 6 | 1360 | B frame_num/POC/tipo errado | valido, desvia 1/0
46147650 3 | 1370 | B frame_num/POC/tipo errado | valido, desvia 1/0
46747368 6 | 1385 | B frame_num/POC/tipo errado | valido, desvia 2/0
46747369 3 | 1385 | B frame_num/POC/tipo errado | valido, desvia 2/0
46792836 7 | 1388 | A cabecalho invalido | invalido: ue com zeros demais
46792836 3 | 1388 | A cabecalho invalido | invalido: ue com zeros demais
47131549 4 | 1397 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
47961206 0 | 1425 | A cabecalho invalido | invalido: luma_log2_weight_denom=70 fora de [0,7]
47961210 2 | 1425 | A cabecalho invalido | invalido: luma_log2_weight_denom=70 fora de [0,7]
48010729 0 | 1426 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
48169778 2 | 1433 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
48405580 3 | 1440 | B frame_num/POC/tipo errado | valido, desvia 1/0
48561110 5 | 1447 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
48561114 0 | 1447 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
48605280 5 | 1450 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
48811249 3 | 1459 | B frame_num/POC/tipo errado | valido, desvia 2/0
48811250 4 | 1459 | B frame_num/POC/tipo errado | valido, desvia 2/0
48854190 3 | 1461 | B frame_num/POC/tipo errado | valido, desvia 1/0
49054080 2 | 1468 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=1023 fora de [0,3]
49054082 7 | 1468 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=1023 fora de [0,3]
49099233 7 | 1471 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
49099235 5 | 1471 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
49141137 6 | 1472 | A cabecalho invalido | invalido: cabac_init_idc=14 fora de [0,2]
49141138 1 | 1472 | A cabecalho invalido | invalido: cabac_init_idc=14 fora de [0,2]
49242751 7 | 1477 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
49242753 7 | 1477 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
49348098 2 | 1481 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
49348100 7 | 1481 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
49485554 3 | 1487 | A cabecalho invalido | invalido: ue com zeros demais
49485556 3 | 1487 | A cabecalho invalido | invalido: ue com zeros demais
49543924 7 | 1489 | A cabecalho invalido | invalido: abs_diff_pic_num_minus1=263 fora de [0,255]
49543925 7 | 1489 | A cabecalho invalido | invalido: abs_diff_pic_num_minus1=263 fora de [0,255]
49783158 7 | 1497 | B frame_num/POC/tipo errado | valido, desvia 1/0
49783158 5 | 1497 | B frame_num/POC/tipo errado | valido, desvia 1/0
49935504 5 | 1506 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=3 fora de [0,2]
49935505 1 | 1506 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=3 fora de [0,2]
50039953 1 | 1512 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
50039957 2 | 1512 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
50229141 4 | 1519 | B frame_num/POC/tipo errado | valido, desvia 1/0
50334123 0 | 1522 | B frame_num/POC/tipo errado | valido, desvia 1/0
50532280 6 | 1526 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
50623801 7 | 1532 | A cabecalho invalido | invalido: long_term_pic_num=131071 fora de [0,255]
50674469 6 | 1534 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=3 fora de [0,2]
50911099 2 | 1544 | B frame_num/POC/tipo errado | valido, desvia 2/0
50911100 3 | 1544 | B frame_num/POC/tipo errado | valido, desvia 2/0
51017512 1 | 1548 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
51121943 5 | 1551 | B frame_num/POC/tipo errado | valido, desvia 1/0
51314364 2 | 1554 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/3
51363733 0 | 1556 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
51363736 3 | 1556 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
51809397 3 | 1573 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=1048581 fora de [0,3]
51893000 2 | 1575 | B frame_num/POC/tipo errado | valido, desvia 1/0
52342964 0 | 1587 | A cabecalho invalido | invalido: chroma_log2_weight_denom=70 fora de [0,7]
52342966 2 | 1587 | A cabecalho invalido | invalido: chroma_log2_weight_denom=70 fora de [0,7]
52531503 7 | 1594 | B frame_num/POC/tipo errado | valido, desvia 1/0
52531503 1 | 1594 | B frame_num/POC/tipo errado | valido, desvia 1/0
53376582 1 | 1617 | B frame_num/POC/tipo errado | valido, desvia 1/1
53376584 3 | 1617 | B frame_num/POC/tipo errado | valido, desvia 1/1
53517212 3 | 1624 | A cabecalho invalido | invalido: mmco=148204 fora de [0,6]
53815463 6 | 1631 | A cabecalho invalido | invalido: cabac_init_idc=14 fora de [0,2]
53815464 1 | 1631 | A cabecalho invalido | invalido: cabac_init_idc=14 fora de [0,2]
53960003 1 | 1638 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
54234186 7 | 1646 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/3
54234187 2 | 1646 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/3
54303044 7 | 1647 | B frame_num/POC/tipo errado | valido, desvia 1/0
54303044 6 | 1647 | B frame_num/POC/tipo errado | valido, desvia 1/0
54906281 7 | 1662 | B frame_num/POC/tipo errado | valido, desvia 1/0
55152291 6 | 1668 | A cabecalho invalido | invalido: cabac_init_idc=18 fora de [0,2]
55152293 6 | 1668 | A cabecalho invalido | invalido: cabac_init_idc=18 fora de [0,2]
55199650 0 | 1670 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=15 fora de [0,3]
55199653 3 | 1670 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=15 fora de [0,3]
55485259 2 | 1677 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
55533603 7 | 1679 | B frame_num/POC/tipo errado | valido, desvia 1/0
56231771 5 | 1695 | B frame_num/POC/tipo errado | valido, desvia 1/0
56375393 1 | 1698 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/3
56375395 4 | 1698 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/3
56612217 6 | 1704 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=3 fora de [0,2]
56625611 6 | 1705 | B frame_num/POC/tipo errado | valido, desvia 1/0
56758591 6 | 1710 | B frame_num/POC/tipo errado | valido, desvia 1/0
57208772 3 | 1718 | B frame_num/POC/tipo errado | valido, desvia 1/0
57262145 5 | 1720 | B frame_num/POC/tipo errado | valido, desvia 2/0
57262146 4 | 1720 | B frame_num/POC/tipo errado | valido, desvia 2/0
57348263 7 | 1722 | B frame_num/POC/tipo errado | valido, desvia 1/1
57348265 1 | 1722 | B frame_num/POC/tipo errado | valido, desvia 1/1
57499019 3 | 1727 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
57551739 3 | 1729 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
57746408 0 | 1733 | B frame_num/POC/tipo errado | valido, desvia 2/0
57746410 4 | 1733 | B frame_num/POC/tipo errado | valido, desvia 2/0
57844398 5 | 1734 | A cabecalho invalido | invalido: ue com zeros demais
57844399 7 | 1734 | A cabecalho invalido | invalido: ue com zeros demais
58288366 0 | 1743 | B frame_num/POC/tipo errado | valido, desvia 1/1
58288371 6 | 1743 | B frame_num/POC/tipo errado | valido, desvia 1/1
58336291 7 | 1746 | B frame_num/POC/tipo errado | valido, desvia 1/0
58438260 3 | 1749 | A cabecalho invalido | invalido: abs_diff_pic_num_minus1=1023 fora de [0,255]
58438263 7 | 1749 | A cabecalho invalido | invalido: abs_diff_pic_num_minus1=1023 fora de [0,255]
58528937 0 | 1751 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
58528940 7 | 1751 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
58687092 3 | 1757 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
58826745 4 | 1761 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
58972396 5 | 1765 | B frame_num/POC/tipo errado | valido, desvia 1/0
59466930 6 | 1780 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
59466932 7 | 1780 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
59475693 5 | 1781 | B frame_num/POC/tipo errado | valido, desvia 1/1
59475695 4 | 1781 | B frame_num/POC/tipo errado | valido, desvia 1/1
59514288 6 | 1783 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
59565681 6 | 1787 | B frame_num/POC/tipo errado | valido, desvia 1/0
59571462 3 | 1788 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=15 fora de [0,3]
59571464 0 | 1788 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=15 fora de [0,3]
59660083 7 | 1794 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=142 fora de [0,3]
59707822 5 | 1797 | B frame_num/POC/tipo errado | valido, desvia 1/0
59714788 7 | 1798 | B frame_num/POC/tipo errado | valido, desvia 1/0
59865278 6 | 1803 | B frame_num/POC/tipo errado | valido, desvia 1/0
59920020 6 | 1807 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
60260391 0 | 1824 | B frame_num/POC/tipo errado | valido, desvia 1/0
60498516 0 | 1832 | B frame_num/POC/tipo errado | valido, desvia 1/0
60641517 5 | 1837 | B frame_num/POC/tipo errado | valido, desvia 1/0
60705022 0 | 1841 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
60853639 4 | 1850 | B frame_num/POC/tipo errado | valido, desvia 2/0
60853639 0 | 1850 | B frame_num/POC/tipo errado | valido, desvia 2/0
60901973 7 | 1852 | A cabecalho invalido | invalido: abs_diff_pic_num_minus1=203039 fora de [0,255]
60951563 6 | 1855 | B frame_num/POC/tipo errado | valido, desvia 1/1
60951566 4 | 1855 | B frame_num/POC/tipo errado | valido, desvia 1/1
61233041 7 | 1866 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=3 fora de [0,2]
61294060 7 | 1868 | B frame_num/POC/tipo errado | valido, desvia 2/0
61294061 4 | 1868 | B frame_num/POC/tipo errado | valido, desvia 2/0
61439879 5 | 1874 | A cabecalho invalido | invalido: ue com zeros demais
62270968 1 | 1897 | B frame_num/POC/tipo errado | valido, desvia 1/0
62418851 2 | 1902 | B frame_num/POC/tipo errado | valido, desvia 1/0
62868964 2 | 1914 | B frame_num/POC/tipo errado | valido, desvia 1/0
63296260 1 | 1923 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
63296263 1 | 1923 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
63404550 5 | 1928 | A cabecalho invalido | invalido: ue com zeros demais
63985073 3 | 1944 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
64141694 4 | 1948 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
64384777 0 | 1951 | B frame_num/POC/tipo errado | valido, desvia 1/0
64479753 3 | 1956 | B frame_num/POC/tipo errado | valido, desvia 1/0
64834996 1 | 1967 | A cabecalho invalido | invalido: qp=-193 fora de [0,51]
65226714 1 | 1977 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
65226717 2 | 1977 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
65862194 6 | 1995 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
65862194 0 | 1995 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
65952795 7 | 1997 | A cabecalho invalido | invalido: cabac_init_idc=30 fora de [0,2]
65952797 6 | 1997 | A cabecalho invalido | invalido: cabac_init_idc=30 fora de [0,2]
66544043 7 | 2011 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
66555809 4 | 2012 | A cabecalho invalido | invalido: cabac_init_idc=34 fora de [0,2]
66885970 1 | 2024 | B frame_num/POC/tipo errado | valido, desvia 1/0
66998483 3 | 2027 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
67095176 3 | 2029 | B frame_num/POC/tipo errado | valido, desvia 1/0
67278666 1 | 2034 | B frame_num/POC/tipo errado | valido, desvia 1/0
67523282 2 | 2038 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=1537 fora de [0,3]
67531212 2 | 2039 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
67622412 4 | 2042 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
67622413 4 | 2042 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
67633331 4 | 2043 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
67777014 0 | 2049 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
67777016 3 | 2049 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
67875368 7 | 2050 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=199 fora de [0,3]
68213367 2 | 2060 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
68657208 5 | 2068 | B frame_num/POC/tipo errado | valido, desvia 1/0
68863492 6 | 2074 | A cabecalho invalido | invalido: abs_diff_pic_num_minus1=65535 fora de [0,255]
68959795 4 | 2080 | B frame_num/POC/tipo errado | valido, desvia 1/0
69047155 3 | 2085 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
69106036 4 | 2087 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
69400240 0 | 2098 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
69400242 4 | 2098 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
69593230 6 | 2102 | A cabecalho invalido | invalido: qp=-193 fora de [0,51]
69593233 3 | 2102 | A cabecalho invalido | invalido: qp=-193 fora de [0,51]
69638878 4 | 2104 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
69747937 6 | 2110 | A cabecalho invalido | invalido: chroma_log2_weight_denom=65 fora de [0,7]
69838874 2 | 2113 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=753663 fora de [0,3]
69838876 5 | 2113 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=753663 fora de [0,3]
69852857 3 | 2114 | A cabecalho invalido | invalido: mmco=7 fora de [0,6]
70094006 2 | 2120 | B frame_num/POC/tipo errado | valido, desvia 1/0
70229612 3 | 2123 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
70229615 4 | 2123 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
70733444 3 | 2135 | B frame_num/POC/tipo errado | valido, desvia 1/0
70927973 6 | 2140 | B frame_num/POC/tipo errado | valido, desvia 1/0
71112865 4 | 2147 | B frame_num/POC/tipo errado | valido, desvia 1/1
71112870 7 | 2147 | B frame_num/POC/tipo errado | valido, desvia 1/1
71211249 7 | 2149 | A cabecalho invalido | invalido: abs_diff_pic_num_minus1=2047 fora de [0,255]
71268325 0 | 2151 | A cabecalho invalido | invalido: luma_log2_weight_denom=69 fora de [0,7]
71319330 6 | 2153 | A cabecalho invalido | invalido: ue com zeros demais
71319332 7 | 2153 | A cabecalho invalido | invalido: ue com zeros demais
71363881 4 | 2155 | B frame_num/POC/tipo errado | valido, desvia 1/0
71856080 3 | 2175 | B frame_num/POC/tipo errado | valido, desvia 1/0
71862701 6 | 2176 | B frame_num/POC/tipo errado | valido, desvia 1/0
71946585 1 | 2179 | B frame_num/POC/tipo errado | valido, desvia 1/0
72440226 2 | 2196 | B frame_num/POC/tipo errado | valido, desvia 1/0
72893178 1 | 2211 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
73027798 1 | 2215 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
73323251 0 | 2224 | B frame_num/POC/tipo errado | valido, desvia 1/1
73323255 3 | 2224 | B frame_num/POC/tipo errado | valido, desvia 1/1
73335603 2 | 2225 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=3 fora de [0,2]
73335605 6 | 2225 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=3 fora de [0,2]
73533185 4 | 2232 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
73922547 0 | 2244 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
74357347 7 | 2261 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
74609471 4 | 2273 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
74609473 3 | 2273 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
74763893 4 | 2276 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
74763897 1 | 2276 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
74802211 4 | 2278 | B frame_num/POC/tipo errado | valido, desvia 1/1
74802213 6 | 2278 | B frame_num/POC/tipo errado | valido, desvia 1/1
75157067 7 | 2293 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
75157071 2 | 2293 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
75451600 2 | 2302 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
75451602 5 | 2302 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
77496466 2 | 2360 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
77816103 5 | 2364 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
77816103 2 | 2364 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
78021333 0 | 2372 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
78206515 6 | 2377 | B frame_num/POC/tipo errado | valido, desvia 1/0
78371357 5 | 2380 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
78615584 0 | 2386 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=18 fora de [0,3]
78615585 7 | 2386 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=18 fora de [0,3]
78851217 4 | 2390 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
78851218 2 | 2390 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
79189709 0 | 2395 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
79262764 4 | 2398 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=3 fora de [0,2]
79262765 6 | 2398 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=3 fora de [0,2]
79393186 3 | 2402 | B frame_num/POC/tipo errado | valido, desvia 1/0
79411243 5 | 2403 | B frame_num/POC/tipo errado | valido, desvia 1/1
79411243 0 | 2403 | B frame_num/POC/tipo errado | valido, desvia 1/1
79512226 3 | 2405 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/4
79547617 1 | 2407 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
79547621 2 | 2407 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
79660698 7 | 2409 | A cabecalho invalido | invalido: abs_diff_pic_num_minus1=137215 fora de [0,255]
79699360 7 | 2410 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
79966344 3 | 2416 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
79966345 1 | 2416 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
80100121 0 | 2417 | B frame_num/POC/tipo errado | valido, desvia 1/0
80100122 7 | 2417 | B frame_num/POC/tipo errado | valido, desvia 1/0
80198245 0 | 2419 | B frame_num/POC/tipo errado | valido, desvia 1/0
80533258 1 | 2421 | B frame_num/POC/tipo errado | valido, desvia 1/0
80614038 7 | 2425 | A cabecalho invalido | invalido: cabac_init_idc=20 fora de [0,2]
80614041 5 | 2425 | A cabecalho invalido | invalido: cabac_init_idc=20 fora de [0,2]
80693576 4 | 2427 | B frame_num/POC/tipo errado | valido, desvia 1/1
80693578 4 | 2427 | B frame_num/POC/tipo errado | valido, desvia 1/1
80812900 7 | 2430 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
80871619 6 | 2433 | B frame_num/POC/tipo errado | valido, desvia 1/0
80984921 7 | 2435 | A cabecalho invalido | invalido: cabac_init_idc=34 fora de [0,2]
80984924 6 | 2435 | A cabecalho invalido | invalido: cabac_init_idc=34 fora de [0,2]
81023789 7 | 2437 | B frame_num/POC/tipo errado | valido, desvia 1/0
81353703 3 | 2442 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
81353703 1 | 2442 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
81407746 7 | 2443 | B frame_num/POC/tipo errado | valido, desvia 2/0
81407747 6 | 2443 | B frame_num/POC/tipo errado | valido, desvia 2/0
81614369 2 | 2451 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=14 fora de [0,3]
81758863 4 | 2456 | B frame_num/POC/tipo errado | valido, desvia 1/0
81895039 2 | 2459 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
81895043 4 | 2459 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
82683775 3 | 2479 | B frame_num/POC/tipo errado | valido, desvia 1/3
82683777 7 | 2479 | B frame_num/POC/tipo errado | valido, desvia 1/3
82907078 5 | 2485 | B frame_num/POC/tipo errado | valido, desvia 1/0
83023873 6 | 2489 | A cabecalho invalido | invalido: cabac_init_idc=14 fora de [0,2]
83516123 2 | 2504 | B frame_num/POC/tipo errado | valido, desvia 1/0
83575175 2 | 2505 | A cabecalho invalido | invalido: qp=80 fora de [0,51]
83575176 1 | 2505 | A cabecalho invalido | invalido: qp=80 fora de [0,51]
83666293 4 | 2509 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
83912422 0 | 2517 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
83970796 5 | 2520 | B frame_num/POC/tipo errado | valido, desvia 2/0
83970797 1 | 2520 | B frame_num/POC/tipo errado | valido, desvia 2/0
84748446 5 | 2545 | B frame_num/POC/tipo errado | valido, desvia 1/0
84842259 6 | 2548 | B frame_num/POC/tipo errado | valido, desvia 1/0
84949900 7 | 2551 | A cabecalho invalido | invalido: long_term_pic_num=288767 fora de [0,255]
85146736 6 | 2556 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
85146738 0 | 2556 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=5 fora de [0,2]
85725395 3 | 2581 | B frame_num/POC/tipo errado | valido, desvia 2/0
85725396 3 | 2581 | B frame_num/POC/tipo errado | valido, desvia 2/0
