# cabecalho_slice.txt -- saida de `python tools/cabecalho_slice.py`, 2026-09-18.
# NAO SAO PATCHES. Nada disto esta no patches.txt.
#
# Cada linha: quadro | estado do cabecalho hoje | solucoes de 1 ou 2 bits que
# deixam o cabecalho valido pela norma E igual ao esperado (tipo, frame_num e
# POC pelo ctts; constantes do filme). Formato das solucoes: offset bit.
#
# RESULTADO MEDIDO (mapa corrigido e serie, aplicando as solucoes UNICAS):
#
#   grupo                        quadros  unicas  efeito
#   A cabecalho invalido            443     252   157 passam a emitir imagem;
#                                                 mb sobe em 179, cai em 14
#   B valido, frame_num/POC errado  267     226   parse quase nao muda
#   C so campos incomuns            164     144   PIORA (cai 48, sobe 15) --
#                                                 "incomum" e escolha do
#                                                 codificador; controle negativo
#
#   Critério rigoroso: 209 -> 211 com o grupo A (frames 960 e 961, que dependem
#   do 958, consertado por 1 bit em cabac_init_idc). A IMAGEM DOS DOIS E
#   LISTRADA -- o GOP inteiro herda o IDR 953 borrado (armadilha 56). Ganho de
#   imagem boa: zero, como o RASTREIO.md ja registrava para os 536 candidatos de
#   frame_num/POC do cabecalhos.py.
#
# AMBIGUOS precisam do pixel: o frame 11 tem duas solucoes; a certa
# (147709 7 + 147712 1) prediz a tarja em 16 exato no MB 0, a outra
# (147707 0 + 147712 1) prediz 34 e croma 255.
#
# quadro | estado do cabecalho hoje | solucoes (offset bit [+ offset bit])
1298 | invalido: chroma_log2_weight_denom=15 fora de [0,7] | 1 solucao(oes): 43838907 4
1300 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
1304 | valido, desvia 1/0 | 1 solucao(oes): 43988830 4
1308 | valido, desvia 1/0 | 1 solucao(oes): 44084803 1
1314 | invalido: slice_type SP/SI | 0 solucao(oes): 
1318 | invalido: qp=56 fora de [0,51] | 0 solucao(oes): 
1319 | invalido: luma_log2_weight_denom=11 fora de [0,7] | 0 solucao(oes): 
1320 | invalido: modification_of_pic_nums_idc=18 fora de [0,3] | 0 solucao(oes): 
1322 | valido, desvia 0/1 | 1 solucao(oes): 44672194 5
1323 | valido, desvia 1/0 | 1 solucao(oes): 44725456 4 + 44725456 2
1326 | valido, desvia 0/2 | 1 solucao(oes): 44766346 2
1337 | valido, desvia 0/2 | 1 solucao(oes): 45073468 4
1340 | valido, desvia 1/3 | 0 solucao(oes): 
1344 | invalido: modification_of_pic_nums_idc=319 fora de [0,3] | 0 solucao(oes): 
1347 | valido, desvia 1/0 | 1 solucao(oes): 45371304 2
1349 | valido, desvia 0/2 | 1 solucao(oes): 45406426 4 + 45406428 7
1351 | valido, desvia 1/0 | 1 solucao(oes): 45601990 6
1353 | valido, desvia 0/1 | 1 solucao(oes): 45657455 6
1355 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 45682549 2
1357 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 1 solucao(oes): 45749195 1 + 45749199 6
1360 | valido, desvia 1/1 | 1 solucao(oes): 45859094 6 + 45859097 7
1370 | valido, desvia 1/0 | 1 solucao(oes): 46147650 3
1372 | invalido: mmco=21 fora de [0,6] | 0 solucao(oes): 
1384 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
1385 | valido, desvia 2/0 | 1 solucao(oes): 46747368 6 + 46747369 3
1388 | invalido: ue com zeros demais | 1 solucao(oes): 46792836 7 + 46792836 3
1397 | valido, desvia 0/2 | 1 solucao(oes): 47131549 4
1404 | invalido: alpha=524288 fora de [-6,6] | 0 solucao(oes): 
1415 | valido, desvia 1/2 | 0 solucao(oes): 
1425 | invalido: luma_log2_weight_denom=70 fora de [0,7] | 1 solucao(oes): 47961206 0 + 47961210 2
1426 | valido, desvia 0/1 | 1 solucao(oes): 48010729 0
1433 | valido, desvia 0/2 | 1 solucao(oes): 48169778 2
1434 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 0 solucao(oes): 
1440 | valido, desvia 1/0 | 1 solucao(oes): 48405580 3
1445 | invalido: ue com zeros demais | 0 solucao(oes): 
1447 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 48561110 5 + 48561114 0
1450 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 1 solucao(oes): 48605280 5
1451 | valido, desvia 2/2 | 0 solucao(oes): 
1452 | invalido: modification_of_pic_nums_idc=127 fora de [0,3] | 0 solucao(oes): 
1457 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
1459 | valido, desvia 2/0 | 1 solucao(oes): 48811249 3 + 48811250 4
1461 | valido, desvia 1/0 | 1 solucao(oes): 48854190 3
1468 | invalido: modification_of_pic_nums_idc=1023 fora de [0,3] | 1 solucao(oes): 49054080 2 + 49054082 7
1471 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 49099233 7 + 49099235 5
1472 | invalido: cabac_init_idc=14 fora de [0,2] | 1 solucao(oes): 49141137 6 + 49141138 1
1477 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 1 solucao(oes): 49242751 7 + 49242753 7
1481 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 1 solucao(oes): 49348098 2 + 49348100 7
1487 | invalido: ue com zeros demais | 1 solucao(oes): 49485554 3 + 49485556 3
1489 | invalido: abs_diff_pic_num_minus1=263 fora de [0,255] | 1 solucao(oes): 49543924 7 + 49543925 7
1491 | invalido: modification_of_pic_nums_idc=7 fora de [0,3] | 0 solucao(oes): 
1497 | valido, desvia 1/0 | 1 solucao(oes): 49783158 7 + 49783158 5
1498 | invalido: ue com zeros demais | 0 solucao(oes): 
1506 | invalido: disable_deblocking_filter_idc=3 fora de [0,2] | 1 solucao(oes): 49935504 5 + 49935505 1
1511 | invalido: pps_id=2 fora de [0,0] | 0 solucao(oes): 
1512 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 50039953 1 + 50039957 2
1516 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
1519 | valido, desvia 1/0 | 1 solucao(oes): 50229141 4
1522 | valido, desvia 1/0 | 1 solucao(oes): 50334123 0
1526 | valido, desvia 0/1 | 1 solucao(oes): 50532280 6
1532 | invalido: long_term_pic_num=131071 fora de [0,255] | 1 solucao(oes): 50623801 7
1534 | invalido: disable_deblocking_filter_idc=3 fora de [0,2] | 1 solucao(oes): 50674469 6
1537 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
1540 | invalido: mmco=12 fora de [0,6] | 0 solucao(oes): 
1544 | valido, desvia 2/0 | 1 solucao(oes): 50911099 2 + 50911100 3
1548 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 51017512 1
1551 | valido, desvia 1/0 | 1 solucao(oes): 51121943 5
1554 | valido, desvia 0/3 | 1 solucao(oes): 51314364 2
1556 | valido, desvia 0/2 | 1 solucao(oes): 51363733 0 + 51363736 3
1565 | invalido: mmco=12 fora de [0,6] | 0 solucao(oes): 
1573 | invalido: modification_of_pic_nums_idc=1048581 fora de [0,3] | 1 solucao(oes): 51809397 3
1575 | valido, desvia 1/0 | 1 solucao(oes): 51893000 2
1587 | invalido: chroma_log2_weight_denom=70 fora de [0,7] | 1 solucao(oes): 52342964 0 + 52342966 2
1588 | invalido: modification_of_pic_nums_idc=24 fora de [0,3] | 0 solucao(oes): 
1594 | valido, desvia 1/0 | 1 solucao(oes): 52531503 7 + 52531503 1
1595 | invalido: luma_log2_weight_denom=2860 fora de [0,7] | 0 solucao(oes): 
1596 | valido, desvia 2/0 | 0 solucao(oes): 
1597 | valido, desvia 2/0 | 0 solucao(oes): 
1598 | invalido: mmco=12 fora de [0,6] | 0 solucao(oes): 
1599 | valido, desvia 2/0 | 1 solucao(oes): 52662196 3 + 52662197 6
1600 | invalido: disable_deblocking_filter_idc=3 fora de [0,2] | 0 solucao(oes): 
1601 | valido, desvia 2/0 | 1 solucao(oes): 52755234 3 + 52755235 6
1602 | valido, desvia 2/0 | 1 solucao(oes): 52774411 3 + 52774412 6
1603 | valido, desvia 2/0 | 1 solucao(oes): 52794779 3 + 52794780 6
1604 | valido, desvia 2/0 | 1 solucao(oes): 52858388 3 + 52858389 6
1605 | invalido: modification_of_pic_nums_idc=262151 fora de [0,3] | 0 solucao(oes): 
1606 | valido, desvia 2/0 | 1 solucao(oes): 52911491 3 + 52911492 6
1607 | invalido: beta=-134242339 fora de [-6,6] | 0 solucao(oes): 
1608 | valido, desvia 2/0 | 0 solucao(oes): 
1609 | invalido: ue com zeros demais | 0 solucao(oes): 
1610 | valido, desvia 2/2 | 0 solucao(oes): 
1613 | invalido: qp=90 fora de [0,51] | 0 solucao(oes): 
1615 | invalido: ue com zeros demais | 0 solucao(oes): 
1617 | valido, desvia 1/2 | 1 solucao(oes): 53376582 1 + 53376584 3
1624 | invalido: mmco=148204 fora de [0,6] | 1 solucao(oes): 53517212 3
1628 | invalido: ue com zeros demais | 0 solucao(oes): 
1630 | valido, desvia 0/3 | 1 solucao(oes): 53768158 0 + 53768159 1
1631 | invalido: cabac_init_idc=14 fora de [0,2] | 1 solucao(oes): 53815463 6 + 53815464 1
1635 | valido, desvia 2/1 | 0 solucao(oes): 
1638 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 53960003 1
1646 | valido, desvia 0/3 | 1 solucao(oes): 54234186 7 + 54234187 2
1647 | valido, desvia 1/0 | 1 solucao(oes): 54303044 7 + 54303044 6
1652 | invalido: disable_deblocking_filter_idc=3 fora de [0,2] | 0 solucao(oes): 
1662 | valido, desvia 1/0 | 1 solucao(oes): 54906281 7
1668 | invalido: cabac_init_idc=18 fora de [0,2] | 1 solucao(oes): 55152291 6 + 55152293 6
1670 | invalido: modification_of_pic_nums_idc=15 fora de [0,3] | 1 solucao(oes): 55199650 0 + 55199653 3
1677 | valido, desvia 0/1 | 1 solucao(oes): 55485259 2
1679 | valido, desvia 1/0 | 1 solucao(oes): 55533603 7
1690 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
1695 | valido, desvia 1/0 | 1 solucao(oes): 56231771 5
1698 | valido, desvia 0/3 | 1 solucao(oes): 56375393 1 + 56375395 4
1704 | invalido: disable_deblocking_filter_idc=3 fora de [0,2] | 1 solucao(oes): 56612217 6
1705 | valido, desvia 1/0 | 1 solucao(oes): 56625611 6
1708 | valido, desvia 0/3 | 0 solucao(oes): 
1710 | valido, desvia 1/0 | 1 solucao(oes): 56758591 6
1715 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 0 solucao(oes): 
1718 | valido, desvia 1/0 | 1 solucao(oes): 57208772 3
1720 | valido, desvia 2/0 | 1 solucao(oes): 57262145 5 + 57262146 4
1722 | valido, desvia 1/1 | 1 solucao(oes): 57348263 7 + 57348265 1
1727 | valido, desvia 0/2 | 1 solucao(oes): 57499019 3
1729 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 57551739 3
1733 | valido, desvia 2/0 | 1 solucao(oes): 57746408 0 + 57746410 4
1734 | invalido: ue com zeros demais | 1 solucao(oes): 57844398 5 + 57844399 7
1742 | valido, desvia 2/1 | 0 solucao(oes): 
1743 | valido, desvia 1/1 | 1 solucao(oes): 58288366 0 + 58288371 6
1746 | valido, desvia 1/0 | 1 solucao(oes): 58336291 7
1749 | invalido: abs_diff_pic_num_minus1=1023 fora de [0,255] | 1 solucao(oes): 58438260 3 + 58438263 7
1751 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 58528937 0 + 58528940 7
1757 | valido, desvia 0/2 | 1 solucao(oes): 58687092 3
1761 | valido, desvia 0/1 | 1 solucao(oes): 58826745 4
1765 | valido, desvia 1/0 | 1 solucao(oes): 58972396 5
1772 | valido, desvia 0/3 | 1 solucao(oes): 59320200 5 + 59320201 2
1778 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 0 solucao(oes): 
1780 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 1 solucao(oes): 59466930 6 + 59466932 7
1781 | valido, desvia 1/2 | 1 solucao(oes): 59475693 5 + 59475695 4
1783 | valido, desvia 0/2 | 1 solucao(oes): 59514288 6
1784 | invalido: cabac_init_idc=127 fora de [0,2] | 0 solucao(oes): 
1787 | valido, desvia 1/0 | 1 solucao(oes): 59565681 6
1788 | invalido: modification_of_pic_nums_idc=15 fora de [0,3] | 1 solucao(oes): 59571462 3 + 59571464 0
1794 | invalido: modification_of_pic_nums_idc=142 fora de [0,3] | 1 solucao(oes): 59660083 7
1797 | valido, desvia 1/0 | 1 solucao(oes): 59707822 5
1798 | valido, desvia 1/0 | 1 solucao(oes): 59714788 7
1803 | valido, desvia 1/0 | 1 solucao(oes): 59865278 6
1807 | valido, desvia 0/1 | 1 solucao(oes): 59920020 6
1817 | invalido: cabac_init_idc=33535 fora de [0,2] | 0 solucao(oes): 
1824 | valido, desvia 1/0 | 1 solucao(oes): 60260391 0
1832 | valido, desvia 1/0 | 1 solucao(oes): 60498516 0
1837 | valido, desvia 1/0 | 1 solucao(oes): 60641517 5
1841 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 1 solucao(oes): 60705022 0
1850 | valido, desvia 2/0 | 1 solucao(oes): 60853639 4 + 60853639 0
1851 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
1852 | invalido: abs_diff_pic_num_minus1=203039 fora de [0,255] | 2 solucao(oes): 60901973 7 + 60901973 2 ; 60901973 7 + 60901973 1
1855 | valido, desvia 1/1 | 1 solucao(oes): 60951563 6 + 60951566 4
1866 | invalido: disable_deblocking_filter_idc=3 fora de [0,2] | 1 solucao(oes): 61233041 7 + 61233041 1
1868 | valido, desvia 2/0 | 1 solucao(oes): 61294060 7 + 61294061 4
1871 | invalido: cabac_alignment_one_bit = 0 | 2 solucao(oes): 61337726 3 + 61337735 1 ; 61337726 2 + 61337735 1
1874 | invalido: ue com zeros demais | 1 solucao(oes): 61439879 5
1878 | invalido: mmco=12 fora de [0,6] | 0 solucao(oes): 
1893 | valido, desvia 2/0 | 0 solucao(oes): 
1897 | valido, desvia 1/0 | 1 solucao(oes): 62270968 1
1902 | valido, desvia 1/0 | 1 solucao(oes): 62418851 2
1914 | valido, desvia 1/0 | 1 solucao(oes): 62868964 2
1923 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 63296260 1 + 63296263 1
1928 | invalido: ue com zeros demais | 1 solucao(oes): 63404550 5
1944 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 63985073 3
1946 | valido, desvia 0/1 | 1 solucao(oes): 64085464 5
1948 | valido, desvia 0/1 | 1 solucao(oes): 64141694 4
1951 | valido, desvia 1/0 | 1 solucao(oes): 64384777 0
1956 | valido, desvia 1/0 | 1 solucao(oes): 64479753 3
1967 | invalido: qp=-193 fora de [0,51] | 1 solucao(oes): 64834996 1
1970 | valido, desvia 2/0 | 0 solucao(oes): 
1975 | invalido: long_term_pic_num=1052685 fora de [0,255] | 0 solucao(oes): 
1977 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 65226714 1 + 65226717 2
1983 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
1995 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 65862194 6 + 65862194 0
1997 | invalido: cabac_init_idc=30 fora de [0,2] | 1 solucao(oes): 65952795 7 + 65952797 6
2011 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 66544043 7
2012 | invalido: cabac_init_idc=34 fora de [0,2] | 1 solucao(oes): 66555809 4
2021 | valido, desvia 0/2 | 2 solucao(oes): 66838952 5 + 66838952 4 ; 66838953 5 + 66838953 2
2024 | valido, desvia 1/0 | 1 solucao(oes): 66885970 1
2027 | valido, desvia 0/1 | 1 solucao(oes): 66998483 3
2029 | valido, desvia 1/0 | 1 solucao(oes): 67095176 3
2034 | valido, desvia 1/0 | 1 solucao(oes): 67278666 1
2037 | invalido: chroma=16780292 fora de [-128,127] | 0 solucao(oes): 
2038 | invalido: modification_of_pic_nums_idc=1537 fora de [0,3] | 1 solucao(oes): 67523282 2
2039 | valido, desvia 0/1 | 1 solucao(oes): 67531212 2
2042 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 67622412 4 + 67622413 4
2043 | valido, desvia 0/1 | 1 solucao(oes): 67633331 4
2049 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 67777014 0 + 67777016 3
2050 | invalido: modification_of_pic_nums_idc=199 fora de [0,3] | 1 solucao(oes): 67875368 7
2060 | valido, desvia 0/2 | 1 solucao(oes): 68213367 2
2068 | valido, desvia 1/1 | 1 solucao(oes): 68657208 5 + 68657210 1
2074 | invalido: abs_diff_pic_num_minus1=65535 fora de [0,255] | 1 solucao(oes): 68863492 6
2080 | valido, desvia 1/0 | 1 solucao(oes): 68959795 4
2085 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 1 solucao(oes): 69047155 3
2087 | valido, desvia 0/2 | 1 solucao(oes): 69106036 4
2094 | invalido: cabac_init_idc=255 fora de [0,2] | 0 solucao(oes): 
2098 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 69400240 0 + 69400242 4
2102 | invalido: qp=-193 fora de [0,51] | 1 solucao(oes): 69593230 6 + 69593233 3
2104 | valido, desvia 0/1 | 1 solucao(oes): 69638878 4
2105 | valido, desvia 1/3 | 0 solucao(oes): 
2110 | invalido: chroma_log2_weight_denom=65 fora de [0,7] | 1 solucao(oes): 69747937 6
2113 | invalido: modification_of_pic_nums_idc=753663 fora de [0,3] | 1 solucao(oes): 69838874 2 + 69838876 5
2114 | invalido: mmco=7 fora de [0,6] | 1 solucao(oes): 69852857 3
2116 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
2120 | valido, desvia 1/0 | 1 solucao(oes): 70094006 2
2122 | invalido: luma_log2_weight_denom=64 fora de [0,7] | 0 solucao(oes): 
2123 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 1 solucao(oes): 70229612 3 + 70229615 4
2125 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 0 solucao(oes): 
2129 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
2135 | valido, desvia 1/0 | 1 solucao(oes): 70733444 3
2138 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 0 solucao(oes): 
2140 | valido, desvia 1/0 | 1 solucao(oes): 70927973 6
2142 | invalido: modification_of_pic_nums_idc=31 fora de [0,3] | 0 solucao(oes): 
2145 | invalido: cabac_init_idc=1835015 fora de [0,2] | 0 solucao(oes): 
2147 | valido, desvia 1/1 | 1 solucao(oes): 71112865 4 + 71112870 7
2149 | invalido: abs_diff_pic_num_minus1=2047 fora de [0,255] | 1 solucao(oes): 71211249 7
2151 | invalido: luma_log2_weight_denom=69 fora de [0,7] | 1 solucao(oes): 71268325 0
2153 | invalido: ue com zeros demais | 1 solucao(oes): 71319330 6 + 71319332 7
2155 | valido, desvia 1/0 | 1 solucao(oes): 71363881 4
2175 | valido, desvia 1/0 | 1 solucao(oes): 71856080 3
2176 | valido, desvia 1/0 | 1 solucao(oes): 71862701 6
2179 | valido, desvia 1/0 | 1 solucao(oes): 71946585 1
2196 | valido, desvia 1/0 | 1 solucao(oes): 72440226 2
2206 | invalido: chroma=6144 fora de [-128,127] | 0 solucao(oes): 
2211 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 72893178 1
2215 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 73027798 1
2224 | valido, desvia 1/1 | 1 solucao(oes): 73323251 0 + 73323255 3
2225 | invalido: disable_deblocking_filter_idc=3 fora de [0,2] | 1 solucao(oes): 73335603 2 + 73335605 6
2232 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 1 solucao(oes): 73533185 4
2234 | invalido: modification_of_pic_nums_idc=161 fora de [0,3] | 0 solucao(oes): 
2235 | invalido: ue com zeros demais | 0 solucao(oes): 
2244 | valido, desvia 0/1 | 1 solucao(oes): 73922547 0
2257 | invalido: disable_deblocking_filter_idc=98307 fora de [0,2] | 0 solucao(oes): 
2261 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 74357347 7 + 74357348 4
2273 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 74609471 4 + 74609473 3
2274 | invalido: num_ref_idx_l1=32 fora de [0,31] | 0 solucao(oes): 
2276 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 74763893 4 + 74763897 1
2278 | valido, desvia 1/1 | 1 solucao(oes): 74802211 4 + 74802213 6
2284 | invalido: chroma_log2_weight_denom=265 fora de [0,7] | 0 solucao(oes): 
2293 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 75157067 7 + 75157071 2
2302 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 75451600 2 + 75451602 5
2360 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 77496466 2
2361 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 77528965 2 + 77528966 4
2364 | valido, desvia 0/2 | 1 solucao(oes): 77816103 5 + 77816103 2
2372 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 78021333 0
2374 | invalido: disable_deblocking_filter_idc=7 fora de [0,2] | 0 solucao(oes): 
2377 | valido, desvia 1/0 | 1 solucao(oes): 78206515 6
2379 | invalido: modification_of_pic_nums_idc=6 fora de [0,3] | 0 solucao(oes): 
2380 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 78371357 5
2382 | invalido: ue com zeros demais | 0 solucao(oes): 
2384 | invalido: modification_of_pic_nums_idc=543 fora de [0,3] | 0 solucao(oes): 
2386 | invalido: modification_of_pic_nums_idc=18 fora de [0,3] | 1 solucao(oes): 78615584 0 + 78615585 7
2387 | valido, desvia 1/3 | 0 solucao(oes): 
2388 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 0 solucao(oes): 
2389 | invalido: modification_of_pic_nums_idc=29 fora de [0,3] | 0 solucao(oes): 
2390 | valido, desvia 0/2 | 1 solucao(oes): 78851217 4 + 78851218 2
2395 | valido, desvia 0/1 | 1 solucao(oes): 79189709 0
2396 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
2397 | valido, desvia 2/1 | 0 solucao(oes): 
2398 | invalido: disable_deblocking_filter_idc=3 fora de [0,2] | 1 solucao(oes): 79262764 4 + 79262765 6
2400 | valido, desvia 2/1 | 0 solucao(oes): 
2402 | valido, desvia 1/0 | 1 solucao(oes): 79393186 3
2403 | valido, desvia 1/1 | 1 solucao(oes): 79411243 5 + 79411243 0
2405 | valido, desvia 0/4 | 1 solucao(oes): 79512226 3
2407 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 79547617 1 + 79547621 2
2409 | invalido: abs_diff_pic_num_minus1=137215 fora de [0,255] | 1 solucao(oes): 79660698 7
2410 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 1 solucao(oes): 79699360 7
2412 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
2415 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
2416 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 79966344 3 + 79966345 1
2417 | valido, desvia 1/0 | 1 solucao(oes): 80100121 0 + 80100122 7
2419 | valido, desvia 1/0 | 1 solucao(oes): 80198245 0
2421 | valido, desvia 1/0 | 1 solucao(oes): 80533258 1
2422 | valido, desvia 0/1 | 1 solucao(oes): 80586491 1
2425 | invalido: cabac_init_idc=20 fora de [0,2] | 1 solucao(oes): 80614038 7 + 80614041 5
2427 | valido, desvia 1/1 | 1 solucao(oes): 80693576 4 + 80693578 4
2429 | invalido: chroma_log2_weight_denom=298 fora de [0,7] | 0 solucao(oes): 
2430 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 1 solucao(oes): 80812900 7
2433 | valido, desvia 1/0 | 1 solucao(oes): 80871619 6
2434 | valido, desvia 0/5 | 0 solucao(oes): 
2435 | invalido: cabac_init_idc=34 fora de [0,2] | 1 solucao(oes): 80984921 7 + 80984924 6
2437 | valido, desvia 1/0 | 1 solucao(oes): 81023789 7
2442 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 81353703 3 + 81353703 1
2443 | valido, desvia 2/0 | 1 solucao(oes): 81407746 7 + 81407747 6
2444 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
2449 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 0 solucao(oes): 
2451 | invalido: modification_of_pic_nums_idc=14 fora de [0,3] | 1 solucao(oes): 81614369 2
2456 | valido, desvia 1/0 | 1 solucao(oes): 81758863 4
2458 | invalido: modification_of_pic_nums_idc=7 fora de [0,3] | 0 solucao(oes): 
2459 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 1 solucao(oes): 81895039 2 + 81895043 4
2466 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
2473 | valido, desvia 1/1 | 0 solucao(oes): 
2474 | invalido: modification_of_pic_nums_idc=7 fora de [0,3] | 0 solucao(oes): 
2479 | valido, desvia 1/3 | 1 solucao(oes): 82683775 3 + 82683777 7
2484 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 0 solucao(oes): 
2485 | valido, desvia 1/0 | 1 solucao(oes): 82907078 5
2486 | invalido: modification_of_pic_nums_idc=67071 fora de [0,3] | 0 solucao(oes): 
2489 | invalido: cabac_init_idc=14 fora de [0,2] | 1 solucao(oes): 83023873 6
2492 | invalido: modification_of_pic_nums_idc=68 fora de [0,3] | 0 solucao(oes): 
2496 | invalido: chroma_log2_weight_denom=8 fora de [0,7] | 0 solucao(oes): 
2504 | valido, desvia 1/0 | 1 solucao(oes): 83516123 2
2505 | invalido: qp=80 fora de [0,51] | 1 solucao(oes): 83575175 2 + 83575176 1
2509 | valido, desvia 0/1 | 1 solucao(oes): 83666293 4
2512 | valido, desvia 1/0 | 0 solucao(oes): 
2515 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
2517 | valido, desvia 0/1 | 1 solucao(oes): 83912422 0
2520 | valido, desvia 2/0 | 1 solucao(oes): 83970796 5 + 83970797 1
2534 | invalido: disable_deblocking_filter_idc=286756 fora de [0,2] | 0 solucao(oes): 
2535 | invalido: cabac_init_idc=10 fora de [0,2] | 0 solucao(oes): 
2538 | invalido: alpha=-15 fora de [-6,6] | 0 solucao(oes): 
2542 | invalido: cabac_init_idc=261 fora de [0,2] | 0 solucao(oes): 
2545 | valido, desvia 1/0 | 1 solucao(oes): 84748446 5
2548 | valido, desvia 1/0 | 1 solucao(oes): 84842259 6
2551 | invalido: long_term_pic_num=288767 fora de [0,255] | 1 solucao(oes): 84949900 7
2556 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 1 solucao(oes): 85146736 6 + 85146738 0
2564 | invalido: modification_of_pic_nums_idc=4101 fora de [0,3] | 0 solucao(oes): 
2574 | invalido: cabac_init_idc=7 fora de [0,2] | 0 solucao(oes): 
2577 | invalido: modification_of_pic_nums_idc=6070 fora de [0,3] | 0 solucao(oes): 
2581 | valido, desvia 2/0 | 1 solucao(oes): 85725395 3 + 85725396 3
2582 | valido, desvia 0/1 | 1 solucao(oes): 85781024 4
2588 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 85978545 3
2598 | invalido: cabac_alignment_one_bit = 0 | 0 solucao(oes): 
2600 | valido, desvia 1/3 | 1 solucao(oes): 86272990 0 + 86272992 2
2601 | valido, desvia 2/0 | 1 solucao(oes): 86325164 6 + 86325164 0
2603 | valido, desvia 1/0 | 1 solucao(oes): 86364940 2
2614 | invalido: modification_of_pic_nums_idc=255 fora de [0,3] | 1 solucao(oes): 86760024 7 + 86760025 7
2615 | valido, desvia 1/0 | 1 solucao(oes): 86771720 2
